id,name,Eng,type,Height,Weight,Generation,Status,HP,Attack,Defense,Special Attack,Special Defense,Speed,Capture Rate,Baby,Legendary,Evolution,URL
1,フシギダネ,フシギダネ: Bulbasaur,1,0.7,6.9,1,318,45,49,49,65,65,45,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,フシギソウ,フシギソウ: Ivysaur,1,1,13,1,405,60,62,63,80,80,60,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,フシギバナ,フシギバナ: Venusaur,1,2,100,1,525,80,82,83,100,100,80,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,ヒトカゲ,ヒトカゲ: Charmander,3,0.6,8.5,1,309,39,52,43,60,50,65,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,リザード,リザードン: Charmeleon,3,1.1,19,1,405,58,64,58,80,65,80,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,リザードン,リザードン: Charizard,3,1.7,90.5,1,534,78,84,78,109,85,100,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,ゼニガメ,ゼニガメ: Squirtle,17,0.5,9,1,314,44,48,65,50,64,43,45,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,カメール,カメール: Wartortle,17,1,22.5,1,405,59,63,80,65,80,58,45,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,カメックス,カメックス: Blastoise,17,1.6,85.5,1,530,79,83,100,85,105,78,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,キャタピー,キャタピー: Caterpie,18,0.3,2.9,1,195,45,30,35,20,20,45,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,トランセル,トランセル: Metapod,18,0.7,9.9,1,205,50,20,55,25,25,30,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,バタフリー,バタフリー: Butterfree,18,1.1,32,1,395,60,45,50,90,80,70,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,ビードル,ビードル: Weedle,18,0.3,3.2,1,195,40,35,30,20,20,50,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,コクーン,コクーン: Kakuna,18,0.6,10,1,205,45,25,50,25,25,35,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,スピアー,スピアー: Beedrill,18,1,29.5,1,395,65,90,40,45,80,75,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,ポッポ,ポッポ: Pidgey,13,0.3,1.8,1,251,40,45,40,35,35,56,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,ピジョン,ピジョン: Pidgeotto,13,1.1,30,1,349,63,60,55,50,50,71,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,ピジョット,ピジョット: Pidgeot,13,1.5,39.5,1,479,83,80,75,70,70,101,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,コラッタ,コラッタ: Rattata,13,0.3,3.5,1,253,30,56,35,25,35,72,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,ラッタ,ラッタ: Raticate,13,0.7,18.5,1,413,55,81,60,50,70,97,127,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,オニスズメ,オニスズメ: Spearow,13,0.3,2,1,262,40,60,30,31,31,70,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,オニドリル,オニドリル: Fearow,13,1.2,38,1,442,65,90,65,61,61,100,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,アーボ,アーボ: Ekans,11,2,6.9,1,288,35,60,44,40,54,55,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,アーボック,アーボック: Arbok,11,3.5,65,1,448,60,95,69,65,79,80,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,ピカチュウ,ピカチュウ: Pikachu,2,0.4,6,1,320,35,55,40,50,50,90,190,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,ライチュウ,ライチュウ: Raichu,2,0.8,30,1,485,60,90,55,90,80,110,75,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,サンド,サンド: Sandshrew,10,0.6,12,1,300,50,75,85,20,30,40,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,サンドパン,サンドパン: Sandslash,10,1,29.5,1,450,75,100,110,45,55,65,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,ニドラン♀,ニドラン♀: Nidoran♀,11,0.4,7,1,275,55,47,52,40,40,41,235,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,ニドリーナ,ニドリーナ: Nidorina,11,0.8,20,1,365,70,62,67,55,55,56,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,ニドクイン,ニドクイン: Nidoqueen,11,1.3,60,1,505,90,92,87,75,85,76,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,ニドラン♂,ニドラン♂: Nidoran♂,11,0.5,9,1,273,46,57,40,40,40,50,235,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,ニドリーノ,ニドリーノ: Nidorino,11,0.9,19.5,1,365,61,72,57,55,55,65,120,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,ニドキング,ニドキング: Nidoking,11,1.4,62,1,505,81,102,77,85,75,85,45,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,ピッピ,ピッピ: Clefairy,16,0.6,7.5,1,323,70,45,48,60,65,35,150,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,ピクシー,ピクシー: Clefable,16,1.3,40,1,483,95,70,73,95,90,60,25,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,ロコン,ロコン: Vulpix,3,0.6,9.9,1,299,38,41,40,50,65,65,190,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,キュウコン,キュウコン: Ninetales,3,1.1,19.9,1,505,73,76,75,81,100,100,75,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,プリン,プリン: Jigglypuff,13,0.5,5.5,1,270,115,45,20,45,25,20,170,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,プクリン,プクリン: Wigglytuff,13,1,12,1,435,140,70,45,85,50,45,50,FALSE,FALSE,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,ズバット,ズバット: Zubat,11,0.8,7.5,1,245,40,45,35,30,40,55,255,FALSE,FALSE,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,ゴルバット,ゴルバット: Golbat,11,1.6,55,1,455,75,80,70,65,75,90,90,FALSE,FALSE,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
